Pair,Date,Member_1,Member_2,Total
11,2020-05-08,0.0,1.0,1.0
11,2020-05-11,2.0,4.0,6.0
11,2020-05-12,3.0,0.0,3.0
11,2020-05-13,2.0,0.0,2.0
11,2020-05-14,2.0,0.0,2.0
11,2020-05-15,12.0,0.0,12.0
11,2020-05-16,1.0,0.0,1.0
12,2020-05-07,3.0,3.0,6.0
12,2020-05-11,2.0,0.0,2.0
12,2020-05-14,1.0,10.0,11.0
12,2020-05-13,1.0,3.0,4.0
12,2020-05-06,1.0,0.0,1.0
12,2020-04-30,1.0,3.0,4.0
12,2020-05-02,12.0,6.0,18.0
12,2020-05-12,2.0,1.0,3.0
13,2020-05-04,2.0,6.0,8.0
13,2020-05-06,0.0,3.0,3.0
13,2020-05-08,0.0,1.0,1.0
13,2020-05-09,0.0,1.0,1.0
13,2020-05-11,3.0,0.0,3.0
13,2020-05-12,1.0,4.0,5.0
13,2020-05-13,0.0,1.0,1.0
13,2020-05-14,0.0,1.0,1.0
13,2020-05-05,3.0,4.0,7.0
14,2020-05-12,4.0,0.0,4.0
14,2020-05-13,0.0,2.0,2.0
14,2020-05-05,0.0,2.0,2.0
14,2020-05-06,2.0,8.0,10.0
14,2020-05-14,1.0,1.0,2.0
14,2020-05-04,6.0,2.0,8.0
14,2020-05-07,0.0,5.0,5.0
15,2020-05-07,2.0,1.0,3.0
15,2020-05-01,1.0,2.0,3.0
15,2020-05-11,0.0,3.0,3.0
15,2020-05-04,1.0,3.0,4.0
15,2020-05-15,1.0,0.0,1.0
15,2020-05-14,5.0,4.0,9.0
15,2020-05-03,1.0,0.0,1.0
15,2020-05-06,1.0,0.0,1.0
15,2020-05-05,0.0,1.0,1.0
15,2020-05-13,0.0,1.0,1.0
16,2020-05-03,2.0,0.0,2.0
16,2020-05-05,4.0,0.0,4.0
16,2020-05-07,1.0,0.0,1.0
16,2020-05-12,1.0,0.0,1.0
16,2020-05-13,1.0,0.0,1.0
16,2020-05-14,1.0,5.0,6.0
16,2020-05-16,0.0,1.0,1.0
17,2020-05-30,1.0,0.0,1.0
17,2020-05-13,1.0,1.0,2.0
17,2020-05-12,3.0,0.0,3.0
17,2020-05-11,3.0,1.0,4.0
17,2020-05-10,0.0,2.0,2.0
17,2020-05-04,2.0,0.0,2.0
17,2020-05-07,11.0,7.0,18.0
17,2020-05-06,1.0,0.0,1.0
17,2020-05-02,5.0,0.0,5.0
17,2020-04-29,6.0,0.0,6.0
17,2020-05-08,5.0,0.0,5.0
17,2020-05-01,14.0,8.0,22.0
18,2020-05-01,6.0,6.0,12.0
18,2020-04-29,2.0,3.0,5.0
18,2020-04-30,3.0,4.0,7.0
18,2020-05-05,0.0,1.0,1.0
18,2020-05-11,2.0,6.0,8.0
18,2020-05-12,7.0,6.0,13.0
18,2020-05-13,0.0,3.0,3.0
18,2020-05-02,0.0,7.0,7.0
19,2020-05-16,1.0,0.0,1.0
19,2020-05-14,8.0,0.0,8.0
19,2020-05-15,1.0,0.0,1.0
19,2020-05-10,4.0,0.0,4.0
19,2020-05-07,2.0,0.0,2.0
19,2020-05-06,4.0,0.0,4.0
19,2020-05-11,2.0,0.0,2.0
20,2020-05-09,2.0,0.0,2.0
20,2020-04-30,2.0,0.0,2.0
20,2020-05-02,3.0,0.0,3.0
20,2020-05-03,4.0,0.0,4.0
20,2020-05-07,3.0,3.0,6.0
20,2020-05-14,1.0,0.0,1.0
20,2020-05-06,4.0,0.0,4.0
20,2020-05-24,1.0,0.0,1.0
20,2020-05-25,0.0,1.0,1.0
20,2020-05-15,9.0,0.0,9.0
21,2020-05-03,3.0,2.0,5.0
21,2020-05-07,1.0,3.0,4.0
21,2020-05-09,1.0,2.0,3.0
21,2020-05-12,1.0,1.0,2.0
21,2020-05-13,2.0,1.0,3.0
21,2020-05-05,1.0,4.0,5.0
22,2020-04-29,3.0,8.0,11.0
22,2020-05-01,1.0,0.0,1.0
22,2020-05-07,0.0,1.0,1.0
23,2020-05-04,1.0,2.0,3.0
23,2020-05-05,5.0,4.0,9.0
23,2020-05-06,3.0,2.0,5.0
23,2020-05-07,1.0,1.0,2.0
23,2020-05-13,4.0,1.0,5.0
24,2020-05-01,0.0,1.0,1.0
24,2020-04-29,6.0,5.0,11.0
24,2020-04-30,1.0,7.0,8.0
24,2020-05-07,5.0,2.0,7.0
24,2020-05-05,0.0,8.0,8.0
24,2020-05-06,0.0,3.0,3.0
25,2020-05-06,5.0,1.0,6.0
25,2020-05-19,0.0,2.0,2.0
25,2020-05-04,1.0,1.0,2.0
25,2020-05-01,3.0,2.0,5.0
26,2020-05-05,3.0,3.0,6.0
26,2020-05-06,1.0,3.0,4.0
26,2020-05-01,2.0,3.0,5.0
26,2020-05-10,1.0,0.0,1.0
26,2020-05-08,0.0,1.0,1.0
26,2020-05-11,1.0,0.0,1.0
26,2020-05-12,2.0,3.0,5.0
26,2020-05-14,0.0,3.0,3.0
26,2020-05-07,1.0,2.0,3.0
26,2020-05-09,0.0,1.0,1.0
27,2020-05-03,4.0,2.0,6.0
27,2020-05-05,1.0,2.0,3.0
27,2020-05-06,2.0,0.0,2.0
27,2020-05-12,1.0,1.0,2.0
27,2020-05-13,7.0,6.0,13.0
27,2020-05-14,3.0,1.0,4.0
27,2020-05-04,6.0,8.0,14.0
28,2020-05-06,2.0,0.0,2.0
28,2020-05-10,0.0,1.0,1.0
28,2020-05-05,2.0,3.0,5.0
28,2020-05-11,2.0,2.0,4.0
28,2020-05-13,1.0,0.0,1.0
28,2020-05-14,1.0,0.0,1.0
28,2020-05-01,2.0,0.0,2.0
28,2020-05-04,5.0,0.0,5.0
29,2020-04-30,1.0,5.0,6.0
29,2020-05-04,4.0,5.0,9.0
29,2020-05-06,0.0,2.0,2.0
29,2020-05-07,1.0,3.0,4.0
29,2020-05-13,4.0,0.0,4.0
29,2020-05-14,4.0,0.0,4.0
30,2020-05-01,1.0,2.0,3.0
30,2020-05-04,2.0,1.0,3.0
30,2020-05-06,0.0,2.0,2.0
30,2020-05-07,0.0,1.0,1.0
30,2020-05-08,1.0,0.0,1.0
30,2020-05-14,5.0,3.0,8.0
30,2020-05-12,2.0,2.0,4.0
31,2020-04-30,5.0,0.0,5.0
31,2020-05-04,0.0,10.0,10.0
31,2020-05-12,0.0,3.0,3.0
31,2020-05-13,6.0,0.0,6.0
31,2020-05-14,0.0,1.0,1.0
31,2020-05-05,6.0,0.0,6.0
32,2020-05-12,1.0,0.0,1.0
32,2020-05-02,4.0,0.0,4.0
32,2020-05-05,0.0,6.0,6.0
32,2020-05-06,2.0,1.0,3.0
32,2020-05-07,9.0,0.0,9.0
33,2020-05-14,0.0,2.0,2.0
33,2020-05-12,8.0,0.0,8.0
33,2020-05-11,2.0,6.0,8.0
33,2020-05-04,0.0,1.0,1.0
33,2020-05-03,2.0,0.0,2.0
33,2020-05-01,4.0,5.0,9.0
34,2020-05-04,0.0,3.0,3.0
34,2020-05-09,1.0,0.0,1.0
34,2020-05-05,5.0,1.0,6.0
34,2020-05-07,1.0,2.0,3.0
34,2020-05-10,6.0,4.0,10.0
34,2020-05-12,4.0,4.0,8.0
34,2020-05-01,0.0,3.0,3.0
34,2020-05-14,0.0,2.0,2.0
34,2020-04-30,3.0,0.0,3.0
35,2020-04-30,2.0,0.0,2.0
35,2020-05-06,3.0,0.0,3.0
35,2020-05-13,3.0,0.0,3.0
35,2020-05-05,15.0,6.0,21.0
36,2020-05-04,3.0,5.0,8.0
36,2020-05-12,2.0,1.0,3.0
36,2020-05-05,1.0,1.0,2.0
36,2020-05-06,5.0,3.0,8.0
38,2020-05-15,3.0,2.0,5.0
38,2020-05-06,6.0,2.0,8.0
38,2020-05-14,2.0,0.0,2.0
40,2020-05-07,1.0,6.0,7.0
40,2020-04-30,2.0,0.0,2.0
40,2020-05-04,1.0,0.0,1.0
40,2020-05-06,5.0,3.0,8.0
40,2020-05-08,1.0,5.0,6.0
40,2020-05-05,2.0,7.0,9.0
40,2020-05-11,5.0,6.0,11.0
40,2020-05-12,2.0,1.0,3.0
40,2020-05-13,3.0,3.0,6.0
40,2020-05-14,4.0,0.0,4.0
41,2020-05-13,1.0,0.0,1.0
41,2020-05-12,2.0,0.0,2.0
41,2020-05-07,1.0,0.0,1.0
41,2020-05-14,1.0,4.0,5.0
41,2020-05-05,3.0,2.0,5.0
41,2020-05-04,4.0,3.0,7.0
41,2020-05-06,0.0,4.0,4.0
42,2020-04-30,1.0,0.0,1.0
42,2020-05-01,20.0,15.0,35.0
42,2020-05-03,4.0,4.0,8.0
42,2020-05-08,1.0,2.0,3.0
42,2020-05-11,1.0,7.0,8.0
42,2020-05-13,3.0,4.0,7.0
43,2020-05-13,9.0,3.0,12.0
43,2020-05-04,3.0,2.0,5.0
43,2020-05-06,4.0,6.0,10.0
43,2020-05-14,10.0,6.0,16.0
44,2020-05-02,0.0,1.0,1.0
44,2020-05-03,4.0,0.0,4.0
44,2020-05-06,1.0,0.0,1.0
44,2020-05-01,4.0,6.0,10.0
44,2020-05-16,2.0,0.0,2.0
44,2020-05-04,1.0,1.0,2.0
44,2020-05-15,1.0,1.0,2.0
44,2020-05-13,1.0,0.0,1.0
45,2020-05-03,1.0,0.0,1.0
45,2020-05-02,1.0,0.0,1.0
45,2020-05-08,1.0,1.0,2.0
45,2020-05-10,0.0,3.0,3.0
45,2020-05-01,6.0,0.0,6.0
45,2020-05-06,0.0,3.0,3.0
45,2020-05-07,7.0,0.0,7.0
46,2020-05-06,7.0,6.0,13.0
46,2020-05-14,2.0,0.0,2.0
47,2020-05-07,1.0,5.0,6.0
47,2020-05-08,2.0,7.0,9.0
47,2020-05-09,0.0,5.0,5.0
47,2020-05-11,1.0,5.0,6.0
47,2020-05-10,3.0,0.0,3.0
49,2020-05-05,3.0,3.0,6.0
49,2020-05-06,5.0,3.0,8.0
49,2020-05-07,0.0,1.0,1.0
50,2020-05-18,1.0,2.0,3.0
50,2020-05-17,1.0,1.0,2.0
50,2020-05-15,1.0,0.0,1.0
50,2020-05-05,3.0,3.0,6.0
50,2020-05-04,2.0,2.0,4.0
51,2020-05-07,1.0,0.0,1.0
51,2020-04-30,3.0,0.0,3.0
51,2020-05-01,2.0,2.0,4.0
51,2020-05-02,1.0,0.0,1.0
51,2020-05-04,1.0,2.0,3.0
51,2020-05-05,1.0,0.0,1.0
51,2020-05-12,1.0,1.0,2.0
51,2020-05-10,1.0,0.0,1.0
51,2020-05-08,2.0,2.0,4.0
53,2020-04-30,5.0,0.0,5.0
53,2020-05-14,9.0,0.0,9.0
53,2020-05-06,0.0,3.0,3.0
53,2020-05-04,5.0,0.0,5.0
53,2020-05-01,0.0,4.0,4.0
55,2020-05-17,2.0,1.0,3.0
55,2020-05-06,3.0,4.0,7.0
55,2020-05-07,3.0,0.0,3.0
55,2020-05-13,1.0,3.0,4.0
55,2020-05-15,1.0,0.0,1.0
55,2020-05-18,2.0,2.0,4.0
55,2020-05-14,1.0,2.0,3.0
60,2020-05-08,2.0,0.0,2.0
60,2020-05-14,0.0,1.0,1.0
60,2020-05-01,3.0,2.0,5.0
60,2020-05-05,3.0,0.0,3.0
60,2020-05-11,1.0,0.0,1.0
60,2020-05-12,1.0,0.0,1.0
60,2020-05-10,1.0,2.0,3.0
60,2020-05-13,0.0,2.0,2.0
60,2020-05-15,0.0,1.0,1.0
63,2020-05-14,2.0,3.0,5.0
63,2020-05-13,1.0,0.0,1.0
63,2020-05-06,8.0,7.0,15.0
65,2020-05-04,1.0,5.0,6.0
65,2020-05-06,2.0,12.0,14.0
65,2020-05-13,0.0,1.0,1.0
65,2020-05-12,0.0,3.0,3.0
65,2020-05-07,1.0,1.0,2.0
66,2020-05-01,7.0,8.0,15.0
66,2020-05-02,2.0,0.0,2.0
66,2020-04-29,2.0,0.0,2.0
66,2020-05-05,1.0,0.0,1.0
66,2020-05-06,8.0,3.0,11.0
66,2020-05-07,1.0,0.0,1.0
66,2020-05-12,0.0,1.0,1.0
69,2020-05-04,4.0,4.0,8.0
69,2020-05-05,2.0,2.0,4.0
69,2020-05-07,1.0,2.0,3.0
69,2020-05-12,1.0,1.0,2.0
69,2020-05-13,1.0,2.0,3.0
69,2020-05-14,1.0,4.0,5.0
70,2020-05-01,1.0,2.0,3.0
70,2020-05-05,1.0,1.0,2.0
70,2020-05-14,0.0,2.0,2.0
70,2020-05-12,1.0,2.0,3.0
70,2020-04-30,3.0,2.0,5.0
70,2020-05-07,1.0,3.0,4.0
70,2020-05-06,1.0,1.0,2.0
70,2020-05-08,1.0,1.0,2.0
71,2020-05-11,0.0,2.0,2.0
71,2020-05-07,2.0,5.0,7.0
72,2020-05-07,0.0,4.0,4.0
72,2020-05-06,6.0,4.0,10.0
72,2020-05-05,4.0,4.0,8.0
72,2020-05-13,2.0,0.0,2.0
77,2020-05-10,3.0,0.0,3.0
77,2020-04-30,4.0,6.0,10.0
77,2020-05-07,0.0,2.0,2.0
77,2020-05-11,3.0,3.0,6.0
77,2020-05-12,0.0,3.0,3.0
77,2020-05-14,3.0,8.0,11.0
77,2020-05-13,2.0,6.0,8.0
87,2020-05-10,3.0,3.0,6.0
87,2020-05-12,1.0,0.0,1.0
87,2020-05-14,1.0,0.0,1.0
87,2020-05-17,1.0,0.0,1.0
87,2020-05-07,1.0,0.0,1.0
87,2020-05-04,5.0,4.0,9.0
88,2020-05-08,3.0,3.0,6.0
88,2020-05-11,1.0,4.0,5.0
88,2020-05-17,3.0,4.0,7.0
89,2020-05-17,0.0,1.0,1.0
89,2020-05-14,5.0,1.0,6.0
89,2020-05-07,9.0,3.0,12.0
89,2020-05-06,2.0,0.0,2.0
89,2020-05-18,1.0,0.0,1.0
90,2020-05-05,6.0,3.0,9.0
90,2020-05-07,0.0,4.0,4.0
